Status Checking,Credit History,Purpose,Savings Account,Employement since,Installmentrate %,Other debtors,PresentResidence,Property,Age in years,Otherinstallment Plans,Housing,Number existing Credits,Job,Number people liable,Telephone,Foreign Worker,Target,Credit Amount per Month,Sex,Status
0 less than or equal and less than 200 DM,all credits at this band paid back duly,business,less than 100DM,bigger than or equal 7 years,4,None,3,unknown/no property,59,None,rent,1,skilled employee /official,1,None,yes,1,133.66666666666666,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),business,bigger than or equal 1000 DM,1 less than or equal and less than 4 years,2,None,4,real estate,36,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,53.125,male , divorced/separated
0 less than or equal and less than 200 DM,delay in paying off in the past,radio/television,less than 100DM,less than 1 year,1,None,2,"if not others options : car or other, not in savings accounts/bonds",33,None,own,1,skilled employee /official,1,None,yes,0,266.7916666666667,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,2,None,4,real estate,21,None,rent,1,unskilled-resident,2,None,yes,1,82.79166666666667,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,4,guarantor,2,real estate,44,None,own,1,unskilled-resident,1,None,yes,0,95.0,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (used),bigger than or equal 1000 DM,1 less than or equal and less than 4 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",28,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,108.45833333333333,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,4 less than and equal and less than 7 years,1,None,1,real estate,37,None,own,1,skilled employee /official,2,None,yes,0,845.0,female , divorced/separated/married
0 less than or equal and less than 200 DM,all credits at this band paid back duly,domestic appliances,unknown / no savings account,less than 1 year,3,None,2,unknown/no property,29,bank,own,1,unemployed/unskilled-non-resident,1,None,yes,0,110.83333333333333,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (used),less than 100DM,1 less than or equal and less than 4 years,1,None,4,"if not others options : car or other, not in savings accounts/bonds",23,None,rent,2,management/self-employed/highly qualified employee/officer,1,None,yes,1,481.6666666666667,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,1 less than or equal and less than 4 years,3,None,4,"if not others options : car or other, not in savings accounts/bonds",35,None,own,1,unskilled-resident,2,"yes, registered under the customers name",yes,0,243.33333333333334,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,4 less than and equal and less than 7 years,1,None,3,unknown/no property,45,None,own,2,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,0,1126.8333333333333,male , single
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,business,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",26,None,rent,2,unskilled-resident,1,None,yes,1,142.66666666666666,female , divorced/separated/married
less than 0 DM,all credits at this band paid back duly,car (new),100 less than or equal and < 500DM,4 less than and equal and less than 7 years,2,None,3,"if not others options : car or other, not in savings accounts/bonds",32,bank,own,1,skilled employee /official,1,None,yes,0,96.875,male , single
0 less than or equal and less than 200 DM,all credits at this band paid back duly,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,4,real estate,23,stores,own,1,unskilled-resident,1,None,yes,0,104.8,male , single
no checking account,existing credits paind back duly till now,radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,41,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,150.47619047619048,male , single
less than 0 DM,all credits at this band paid back duly,furniture/equipment,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,4,None,4,real estate,22,stores,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,103.45833333333333,male , single
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,unknown / no savings account,4 less than and equal and less than 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,30,None,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,363.56410256410254,male , single
less than 0 DM,critical account / other credits existing (not at this bank),business,less than 100DM,less than 1 year,3,None,1,if not real estate : building society savings agreement/life insurance,28,bank,own,2,unskilled-resident,1,None,yes,0,138.23076923076923,male , single
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,unemployed,1,None,4,"if not others options : car or other, not in savings accounts/bonds",23,None,rent,1,skilled employee /official,1,None,yes,0,167.4,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,3,None,1,real estate,37,None,own,1,unskilled-resident,1,None,yes,1,106.16666666666667,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (used),unknown / no savings account,1 less than or equal and less than 4 years,1,None,3,"if not others options : car or other, not in savings accounts/bonds",26,None,own,1,skilled employee /official,1,None,yes,0,249.9047619047619,male , single
no checking account,existing credits paind back duly till now,car (used),less than 100DM,4 less than and equal and less than 7 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",33,None,own,1,skilled employee /official,1,None,yes,0,201.93333333333334,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,bigger than or equal 7 years,2,None,1,if not real estate : building society savings agreement/life insurance,49,bank,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,71.33333333333333,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,1,None,2,"if not others options : car or other, not in savings accounts/bonds",23,None,own,1,unskilled-resident,1,None,yes,1,54.22222222222222,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,100 less than or equal and < 500DM,4 less than and equal and less than 7 years,2,None,4,real estate,23,None,rent,1,unskilled-resident,1,None,yes,0,70.08333333333333,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,4 less than and equal and less than 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",25,None,own,2,skilled employee /official,1,None,yes,0,192.36666666666667,female , divorced/separated/married
no checking account,delay in paying off in the past,reparis,bigger than or equal 1000 DM,bigger than or equal 7 years,4,None,4,unknown/no property,55,None,for free,2,skilled employee /official,2,None,yes,1,129.58333333333334,male , single
less than 0 DM,existing credits paind back duly till now,car (new),unknown / no savings account,4 less than and equal and less than 7 years,4,None,4,unknown/no property,32,None,rent,1,skilled employee /official,1,None,yes,1,53.541666666666664,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,1,None,1,real estate,74,None,own,3,unemployed/unskilled-non-resident,2,None,no,0,216.5,male , single
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,1 less than or equal and less than 4 years,3,None,4,unknown/no property,39,None,for free,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,84.73333333333333,male , single
no checking account,existing credits paind back duly till now,car (new),less than 100DM,1 less than or equal and less than 4 years,2,guarantor,2,real estate,31,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,58.041666666666664,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,35,None,own,2,skilled employee /official,1,None,yes,1,57.583333333333336,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),unknown / no savings account,bigger than or equal 7 years,1,None,4,"if not others options : car or other, not in savings accounts/bonds",59,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,336.3333333333333,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,None,4,real estate,24,None,rent,2,skilled employee /official,1,None,yes,1,118.0,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,3,if not real estate : building society savings agreement/life insurance,24,None,own,1,unskilled-resident,1,None,yes,0,184.5,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),unknown / no savings account,bigger than or equal 7 years,4,None,4,unknown/no property,30,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,603.8095238095239,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),100 less than or equal and < 500DM,4 less than and equal and less than 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,27,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,102.625,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,bigger than or equal 7 years,3,guarantor,3,real estate,40,bank,own,2,unskilled-resident,1,None,yes,0,96.25,male , married/windowed
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,2,None,4,if not real estate : building society savings agreement/life insurance,31,None,own,1,unskilled-resident,1,None,yes,1,103.6,male , divorced/separated
no checking account,existing credits paind back duly till now,car (used),unknown / no savings account,less than 1 year,1,None,4,real estate,31,None,rent,1,skilled employee /official,1,None,yes,0,290.1,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,bigger than or equal 7 years,1,None,4,"if not others options : car or other, not in savings accounts/bonds",28,None,rent,3,skilled employee /official,1,"yes, registered under the customers name",yes,0,301.4166666666667,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,bigger than or equal 7 years,2,None,4,real estate,63,None,own,2,unskilled-resident,1,"yes, registered under the customers name",yes,0,137.91666666666666,male , single
less than 0 DM,existing credits paind back duly till now,car (used),unknown / no savings account,bigger than or equal 7 years,2,None,4,real estate,26,None,rent,1,skilled employee /official,1,None,yes,0,117.16666666666667,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),education,less than 100DM,1 less than or equal and less than 4 years,3,None,2,unknown/no property,25,None,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,224.02777777777777,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (used),less than 100DM,bigger than or equal 7 years,1,None,4,"if not others options : car or other, not in savings accounts/bonds",36,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,155.95238095238096,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,100 less than or equal and < 500DM,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,52,bank,own,2,skilled employee /official,1,None,yes,0,92.625,male , single
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),car (new),500 less than or equal and 1000 DM,unemployed,2,None,4,unknown/no property,66,bank,for free,3,unemployed/unskilled-non-resident,1,None,yes,0,123.33333333333333,male , single
less than 0 DM,existing credits paind back duly till now,car (new),unknown / no savings account,1 less than or equal and less than 4 years,4,None,4,real estate,25,None,rent,1,skilled employee /official,1,None,yes,1,57.125,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,4 less than and equal and less than 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",37,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,98.19444444444444,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,4,guarantor,1,real estate,25,None,own,1,skilled employee /official,1,None,yes,0,194.94444444444446,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (used),bigger than or equal 1000 DM,bigger than or equal 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",38,None,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,158.63888888888889,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,reparis,less than 100DM,unemployed,2,None,4,"if not others options : car or other, not in savings accounts/bonds",67,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,215.11111111111111,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),radio/television,less than 100DM,4 less than and equal and less than 7 years,2,guarantor,2,real estate,25,None,own,2,skilled employee /official,1,None,yes,1,126.48717948717949,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),bigger than or equal 1000 DM,bigger than or equal 7 years,4,None,4,real estate,60,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,80.83333333333333,male , single
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,retraining,less than 100DM,1 less than or equal and less than 4 years,2,None,2,real estate,31,None,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,0,117.5,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,less than 1 year,4,None,2,if not real estate : building society savings agreement/life insurance,23,bank,own,1,unskilled-resident,1,None,yes,1,69.66666666666667,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (used),unknown / no savings account,unemployed,1,None,4,real estate,60,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,323.4,male , divorced/separated
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,bigger than or equal 1000 DM,1 less than or equal and less than 4 years,4,None,2,if not real estate : building society savings agreement/life insurance,35,None,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,0,107.83333333333333,male , single
no checking account,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,bigger than or equal 7 years,3,None,4,"if not others options : car or other, not in savings accounts/bonds",40,None,own,1,skilled employee /official,1,None,yes,0,121.5909090909091,male , single
no checking account,critical account / other credits existing (not at this bank),car (used),unknown / no savings account,bigger than or equal 7 years,4,None,3,"if not others options : car or other, not in savings accounts/bonds",38,None,own,2,skilled employee /official,2,"yes, registered under the customers name",yes,0,57.3125,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,education,less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,50,None,for free,1,skilled employee /official,1,None,yes,1,129.66666666666666,male , single
less than 0 DM,critical account / other credits existing (not at this bank),education,less than 100DM,1 less than or equal and less than 4 years,4,None,3,unknown/no property,27,bank,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,149.95,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,less than 100DM,bigger than or equal 7 years,2,None,4,if not real estate : building society savings agreement/life insurance,39,None,own,1,skilled employee /official,2,None,yes,1,56.57142857142857,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (used),unknown / no savings account,bigger than or equal 7 years,3,None,4,"if not others options : car or other, not in savings accounts/bonds",41,None,own,1,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,0,263.0416666666667,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,unknown / no savings account,1 less than or equal and less than 4 years,1,None,2,if not real estate : building society savings agreement/life insurance,27,None,own,2,skilled employee /official,1,None,yes,0,203.5,male , married/windowed
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,furniture/equipment,less than 100DM,bigger than or equal 7 years,3,None,4,unknown/no property,51,None,for free,1,skilled employee /official,1,None,yes,0,120.5,male , divorced/separated
no checking account,existing credits paind back duly till now,furniture/equipment,500 less than or equal and 1000 DM,bigger than or equal 7 years,4,None,3,unknown/no property,32,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,127.58333333333333,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,100 less than or equal and < 500DM,less than 1 year,2,None,4,if not real estate : building society savings agreement/life insurance,22,None,rent,1,skilled employee /official,1,None,yes,0,255.66666666666666,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (used),unknown / no savings account,bigger than or equal 7 years,1,None,4,if not real estate : building society savings agreement/life insurance,51,None,for free,1,skilled employee /official,2,"yes, registered under the customers name",yes,1,417.27777777777777,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,less than 1 year,2,None,4,if not real estate : building society savings agreement/life insurance,22,None,rent,2,unskilled-resident,1,None,yes,0,104.83333333333333,female , divorced/separated/married
no checking account,delay in paying off in the past,car (new),unknown / no savings account,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",54,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,29.875,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),unknown / no savings account,less than 1 year,4,None,2,real estate,35,None,own,1,unemployed/unskilled-non-resident,1,None,yes,0,172.11111111111111,male , single
no checking account,critical account / other credits existing (not at this bank),education,less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,54,None,for free,2,skilled employee /official,2,None,yes,0,66.54166666666667,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),radio/television,less than 100DM,bigger than or equal 7 years,3,guarantor,4,real estate,48,bank,rent,2,unskilled-resident,1,"yes, registered under the customers name",yes,0,99.72222222222223,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,bigger than or equal 7 years,1,None,4,if not real estate : building society savings agreement/life insurance,24,None,own,2,skilled employee /official,1,None,yes,0,213.6,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",35,None,own,2,skilled employee /official,1,None,yes,0,81.33333333333333,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),unknown / no savings account,unemployed,1,None,2,real estate,24,None,rent,1,unemployed/unskilled-non-resident,1,None,yes,0,622.6666666666666,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,4 less than and equal and less than 7 years,2,None,1,"if not others options : car or other, not in savings accounts/bonds",24,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,257.52777777777777,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,3,None,3,real estate,26,None,own,1,unskilled-resident,1,None,no,0,98.33333333333333,male , married/windowed
no checking account,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,4,real estate,65,None,own,4,skilled employee /official,1,None,yes,0,77.5,male , single
0 less than or equal and less than 200 DM,all credits at this band paid back duly,car (used),less than 100DM,unemployed,1,None,2,unknown/no property,55,bank,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,221.02380952380952,male , single
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,car (new),less than 100DM,less than 1 year,2,None,1,real estate,26,None,rent,2,unemployed/unskilled-non-resident,1,None,yes,1,118.53333333333333,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,less than 100DM,less than 1 year,3,None,2,real estate,26,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,113.375,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,3,guarantor,3,real estate,28,bank,own,1,unskilled-resident,1,None,yes,0,80.66666666666667,male , married/windowed
less than 0 DM,critical account / other credits existing (not at this bank),car (used),less than 100DM,4 less than and equal and less than 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",24,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,267.47222222222223,male , single
less than 0 DM,existing credits paind back duly till now,domestic appliances,less than 100DM,1 less than or equal and less than 4 years,3,None,4,"if not others options : car or other, not in savings accounts/bonds",54,None,own,1,skilled employee /official,1,None,yes,1,63.5625,male , single
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,4 less than and equal and less than 7 years,4,None,4,unknown/no property,46,None,for free,1,skilled employee /official,2,None,yes,1,81.89583333333333,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,car (new),less than 100DM,1 less than or equal and less than 4 years,2,None,2,if not real estate : building society savings agreement/life insurance,54,None,rent,1,skilled employee /official,1,None,yes,0,206.44444444444446,female , divorced/separated/married
no checking account,existing credits paind back duly till now,domestic appliances,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,1,None,4,real estate,62,None,own,1,skilled employee /official,1,None,yes,0,223.0,male , divorced/separated
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,4 less than and equal and less than 7 years,1,None,2,"if not others options : car or other, not in savings accounts/bonds",24,None,rent,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,259.0,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,others,less than 100DM,unemployed,2,co-applicant,3,"if not others options : car or other, not in savings accounts/bonds",43,None,own,1,management/self-employed/highly qualified employee/officer,1,None,yes,0,440.47222222222223,male , divorced/separated
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,3,real estate,26,bank,own,1,skilled employee /official,1,None,yes,1,74.72222222222223,male , married/windowed
no checking account,existing credits paind back duly till now,car (new),less than 100DM,1 less than or equal and less than 4 years,3,None,2,real estate,27,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,91.75,male , married/windowed
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,3,None,1,"if not others options : car or other, not in savings accounts/bonds",24,None,own,1,skilled employee /official,1,None,yes,0,251.33333333333334,male , married/windowed
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,bigger than or equal 7 years,2,None,2,if not real estate : building society savings agreement/life insurance,41,bank,own,1,skilled employee /official,2,None,yes,1,75.33333333333333,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,4,None,4,real estate,47,None,own,2,unskilled-resident,1,None,yes,0,91.375,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,less than 1 year,3,None,2,"if not others options : car or other, not in savings accounts/bonds",35,None,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,210.0,male , divorced/separated
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,4,None,3,"if not others options : car or other, not in savings accounts/bonds",30,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,76.28571428571429,male , married/windowed
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,1,None,4,real estate,33,bank,rent,3,skilled employee /official,1,"yes, registered under the customers name",yes,1,220.33333333333334,female , divorced/separated/married
no checking account,no credits tanken/all credits paid back duly,business,less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",36,stores,own,2,skilled employee /official,2,None,yes,1,231.38888888888889,male , single
less than 0 DM,existing credits paind back duly till now,car (used),unknown / no savings account,bigger than or equal 7 years,3,None,4,unknown/no property,47,None,for free,1,skilled employee /official,1,None,yes,1,231.52777777777777,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,business,unknown / no savings account,1 less than or equal and less than 4 years,4,None,4,unknown/no property,38,None,for free,1,skilled employee /official,2,"yes, registered under the customers name",yes,0,139.1875,male , single
no checking account,delay in paying off in the past,business,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",44,None,own,2,skilled employee /official,2,"yes, registered under the customers name",yes,0,98.95833333333333,male , single
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,4,None,3,"if not others options : car or other, not in savings accounts/bonds",23,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,67.55555555555556,female , divorced/separated/married
less than 0 DM,no credits tanken/all credits paid back duly,business,less than 100DM,bigger than or equal 7 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",29,None,rent,2,skilled employee /official,1,None,yes,1,262.5777777777778,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,unknown / no savings account,bigger than or equal 7 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",42,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,211.83333333333334,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,2,None,3,real estate,25,None,own,1,unskilled-resident,1,None,yes,1,155.13333333333333,female , divorced/separated/married
less than 0 DM,no credits tanken/all credits paid back duly,car (new),less than 100DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",48,bank,own,2,skilled employee /official,1,None,yes,1,90.16666666666667,male , single
no checking account,existing credits paind back duly till now,radio/television,unknown / no savings account,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",21,None,own,1,skilled employee /official,1,None,yes,0,73.83333333333333,female , divorced/separated/married
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,1,None,3,real estate,23,None,rent,1,unskilled-resident,2,None,yes,0,150.25,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),car (used),less than 100DM,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,63,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,123.20833333333333,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,bigger than or equal 7 years,4,co-applicant,3,real estate,46,None,own,2,skilled employee /official,1,None,yes,0,108.79166666666667,male , married/windowed
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,4,None,2,if not real estate : building society savings agreement/life insurance,29,None,own,1,skilled employee /official,1,None,yes,1,143.86111111111111,male , single
no checking account,delay in paying off in the past,car (used),less than 100DM,1 less than or equal and less than 4 years,3,None,2,real estate,28,stores,own,2,unskilled-resident,1,None,yes,0,142.52380952380952,male , single
no checking account,existing credits paind back duly till now,reparis,less than 100DM,less than 1 year,4,None,4,real estate,23,None,own,1,skilled employee /official,1,None,yes,1,107.94444444444444,female , divorced/separated/married
no checking account,all credits at this band paid back duly,business,less than 100DM,4 less than and equal and less than 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",50,bank,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,64.95833333333333,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,47,bank,own,3,skilled employee /official,2,"yes, registered under the customers name",yes,0,190.11111111111111,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,unknown / no savings account,4 less than and equal and less than 7 years,2,None,3,"if not others options : car or other, not in savings accounts/bonds",35,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,189.33333333333334,male , single
no checking account,existing credits paind back duly till now,car (new),unknown / no savings account,1 less than or equal and less than 4 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",68,None,rent,2,skilled employee /official,1,None,yes,1,375.6111111111111,male , single
no checking account,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,4,None,2,real estate,28,None,own,1,skilled employee /official,1,None,yes,0,52.041666666666664,male , married/windowed
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,3,None,4,real estate,59,None,own,1,skilled employee /official,1,None,yes,0,151.55555555555554,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,bigger than or equal 7 years,4,None,4,real estate,57,stores,own,1,unskilled-resident,1,None,yes,1,59.083333333333336,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,4,guarantor,2,if not real estate : building society savings agreement/life insurance,33,bank,rent,2,skilled employee /official,1,None,no,1,111.75,male , married/windowed
